dataset,model,emotion,mae,n_pairs,result_file
LAIGAI,gemma-vl-3-27b,aroused,1.27,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,attachment love,0.88,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,awe,0.71,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,calm,0.86,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,craving,0.44,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,disgust,0.64,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,excitement,0.96,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,fear,0.62,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,joy,0.75,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,motivated to approach,0.76,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,motivated to avoid,0.85,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,negative,0.64,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,neutral,0.58,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,nurturant love,0.81,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,positive,0.52,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gemma-vl-3-27b,sadness,0.76,480,LAIGAI-reg-gemma-vl-3-27b.csv
LAIGAI,gpt-4.1,amusement,1.24,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,anger,0.59,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,aroused,1.75,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,attachment love,1.32,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,awe,1.17,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,calm,0.93,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,craving,0.89,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,disgust,0.7,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,excitement,1.21,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,fear,0.78,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,joy,1.16,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,motivated to approach,1.51,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,motivated to avoid,1.17,288,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,negative,0.73,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,neutral,1.08,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,nurturant love,1.21,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,positive,0.97,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,gpt-4.1,sadness,0.52,480,LAIGAI-reg-gpt-4.1.csv
LAIGAI,intern-vl-3.5-8b,amusement,1.27,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,anger,0.67,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,aroused,1.86,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,attachment love,1.33,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,awe,1.49,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,calm,1.26,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,craving,0.72,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,disgust,0.76,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,excitement,1.45,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,fear,0.81,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,joy,1.46,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,motivated to approach,1.23,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,motivated to avoid,0.85,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,negative,0.7,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,neutral,1.09,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,nurturant love,1.35,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,positive,1.0,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,intern-vl-3.5-8b,sadness,0.81,480,LAIGAI-reg-intern-vl-3.5-8b.csv
LAIGAI,qwen-vl-2.5-72b,amusement,0.9,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,anger,0.6,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,aroused,2.12,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,attachment love,0.99,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,awe,0.91,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,calm,1.0,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,craving,0.66,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,disgust,0.55,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,excitement,1.15,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,fear,0.56,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,joy,0.86,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,motivated to approach,1.02,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,motivated to avoid,0.8,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,negative,0.64,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,neutral,1.11,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,nurturant love,1.04,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,positive,0.6,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-72b,sadness,0.65,480,LAIGAI-reg-qwen-vl-2.5-72b.csv
LAIGAI,qwen-vl-2.5-7b,amusement,1.03,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,anger,0.75,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,aroused,1.87,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,attachment love,1.25,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,awe,0.98,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,calm,0.98,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,craving,0.48,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,disgust,0.49,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,excitement,0.99,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,fear,0.51,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,joy,0.9,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,motivated to approach,0.86,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,motivated to avoid,0.52,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,negative,0.54,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,neutral,0.52,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,nurturant love,1.03,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,positive,0.66,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
LAIGAI,qwen-vl-2.5-7b,sadness,0.56,480,LAIGAI-reg-qwen-vl-2.5-7b.csv
