"image","predicted_emotion"
"People_166_h","happiness"
"Animals_184_h","happiness"
"Objects_306_h","neutral"
"Objects_184_v","disgust"
"Faces_347_h","happiness"
"Animals_215_v","surprise"
"Faces_261_v","happiness"
"Animals_159_h","happiness"
"Faces_323_h","happiness"
"People_056_h","surprise"
"Faces_118_h","happiness"
"Animals_183_h","happiness"
"Landscapes_063_h","neutral"
"Objects_247_h","disgust"
"Objects_130_h","fear"
"Animals_118_h","happiness"
"Landscapes_091_h","neutral"
"Faces_345_h","happiness"
"Faces_225_v","happiness"
"Objects_067_h","happiness"
"Objects_086_h","happiness"
"Faces_096_h","happiness"
"Faces_318_v","sadness"
"Animals_109_h","happiness"
"Faces_358_h","happiness"
"Faces_215_v","sadness"
"Landscapes_042_h","neutral"
"People_192_h","happiness"
"Faces_132_h","happiness"
"Faces_066_h","happiness"
"Animals_217_h","happiness"
"Faces_134_h","happiness"
"Faces_065_h","sadness"
"Objects_050_h","disgust"
"Faces_086_v","happiness"
"Objects_242_h","disgust"
"People_068_h","happiness"
"Landscapes_087_h","neutral"
"Faces_103_h","happiness"
"People_044_h","happiness"
"Faces_115_h","happiness"
"Landscapes_084_v","happiness"
"Faces_361_v","happiness"
"Objects_236_h","disgust"
"Faces_122_h","happiness"
"Faces_030_h","sadness"
"Landscapes_123_h","sadness"
"Faces_081_v","happiness"
"Objects_108_v","disgust"
"Objects_276_h","sadness"
"Landscapes_075_h","disgust"
"Faces_357_v","happiness"
"Objects_196_h","disgust"
"Objects_245_h","disgust"
"Faces_198_h","disgust"
"Faces_246_v","happiness"
"Animals_090_h","happiness"
"Faces_116_h","happiness"
"Objects_310_h","neutral"
"Animals_097_h","disgust"
"Objects_319_h","neutral"
"Faces_133_h","happiness"
"Faces_360_v","happiness"
"Faces_126_h","happiness"
"Landscapes_054_h","happiness"
"Faces_203_h","happiness"
"Animals_181_h","happiness"
"Landscapes_083_h","happiness"
"Objects_177_h","disgust"
"Faces_083_h","surprise"
"Faces_089_h","happiness"
"Faces_079_h","happiness"
"Landscapes_024_v","sadness"
"Objects_077_h","happiness"
"Objects_084_v","happiness"
"People_090_v","disgust"
"Objects_195_v","sadness"
"People_174_v","happiness"
"Faces_330_v","happiness"
"Objects_230_h","disgust"
"Animals_100_h","happiness"
"Animals_166_v","happiness"
"Faces_231_v","happiness"
"Animals_177_h","happiness"
"Faces_049_h","sadness"
"Objects_208_h","neutral"
"Objects_312_h","neutral"
"Faces_232_h","happiness"
"Faces_186_h","surprise"
"Landscapes_126_h","happiness"
"Animals_117_h","happiness"
"Objects_175_h","disgust"
"People_146_h","happiness"
"Faces_339_h","happiness"
"Landscapes_128_h","happiness"
"Faces_315_h","neutral"
"Faces_101_h","happiness"
"Faces_309_h","sadness"
"Faces_182_h","surprise"
"Faces_351_h","happiness"
"People_041_h","surprise"
"Faces_088_v","happiness"
"Animals_101_v","happiness"
"Animals_158_h","happiness"
"Animals_201_h","happiness"
"Animals_187_h","happiness"
"Objects_074_v","happiness"
"Faces_140_h","happiness"
"Objects_192_h","happiness"
"Objects_209_h","happiness"
"Animals_131_h","happiness"
"Objects_049_h","disgust"
"Faces_227_v","happiness"
"Faces_333_h","happiness"
"Faces_321_h","happiness"
"Landscapes_121_h","happiness"
"Objects_090_h","disgust"
"Faces_252_h","happiness"
"Faces_253_v","happiness"
"Landscapes_132_h","happiness"
"Faces_228_h","happiness"
"Landscapes_082_v","neutral"
"Faces_346_v","happiness"
"Faces_139_v","happiness"
"Faces_254_h","happiness"
"Objects_258_h","happiness"
"Objects_237_h","surprise"
"Faces_242_h","happiness"
"Faces_236_h","happiness"
"Faces_105_h","happiness"
"Faces_124_h","happiness"
"Objects_201_v","happiness"
"Faces_064_h","sadness"
"Objects_161_v","disgust"
"Faces_316_h","happiness"
"People_091_h","neutral"
"Objects_205_h","surprise"
"Faces_256_h","happiness"
"Faces_356_h","happiness"
"People_171_v","happiness"
"Animals_186_h","happiness"
"Faces_340_h","happiness"
"Objects_069_h","happiness"
"Faces_258_h","happiness"
"Landscapes_152_h","happiness"
"Objects_038_v","happiness"
"Faces_137_h","happiness"
"Faces_108_h","happiness"
"People_092_v","happiness"
"People_055_h","happiness"
"Objects_239_v","sadness"
"Landscapes_064_h","happiness"
"Faces_082_v","happiness"
"Faces_104_h","happiness"
"Landscapes_119_h","happiness"
"Landscapes_097_v","happiness"
"People_106_v","neutral"
"Faces_324_h","happiness"
"Faces_100_h","happiness"
"Faces_131_v","happiness"
"Faces_111_h","sadness"
"Objects_308_h","disgust"
"Faces_091_v","happiness"
"Objects_169_h","sadness"
"People_067_h","happiness"
"Faces_092_h","happiness"
"Objects_249_v","disgust"
"Faces_221_v","happiness"
"Faces_350_h","happiness"
"Objects_295_h","disgust"
"Faces_136_v","happiness"
"Faces_078_h","disgust"
"Faces_344_h","happiness"
"People_089_h","happiness"
"Faces_354_v","happiness"
"Objects_260_h","happiness"
"Faces_002_v","happiness"
"People_116_h","happiness"
"Objects_078_h","happiness"
"People_185_h","happiness"
"People_152_h","happiness"
"People_181_v","happiness"
"Faces_238_h","happiness"
"Animals_218_h","disgust"
"People_167_h","happiness"
"Faces_235_v","happiness"
"Faces_127_h","happiness"
"Faces_138_h","happiness"
"Faces_334_h","happiness"
"Faces_107_h","happiness"
"Faces_353_h","happiness"
"People_176_h","happiness"
"Landscapes_147_h","happiness"
"Faces_106_h","happiness"
"Objects_094_v","happiness"
"Faces_337_h","happiness"
"Landscapes_120_v","happiness"
"Faces_327_v","happiness"
